Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score
CJ Anderson,1,1,0,6,6,60,0,0,,6,0,0,0,5,5,0,24,12.4,80.51,4,2,,62,0,0,1,0,60,526.6418835192
AT Carey,5,3,3,5,0,100,0,0,,6,0,0,0,1,1,0,27,27,112.5,4,0,,27,0,0,0,0,100,877.736472532
B Kumar,10,3,2,3,6,60,0,0,SRH,6,0,0,0,27,9,5,53,43,79.26,15,3,SRH,172,0,1,1,850,60,850
AR Patel,4,2,1,5,6,150,1,0,,6,0,0,0,8,2,0,6,5.5,73.33,0,0,,11,0,0,0,0,151,1325.3820735233
Mohammad Mithun,1,1,0,5,5,166.66,1,0,,5,0,0,0,1,1,0,10,10,37.03,0,1,,10,0,0,0,0,167.66,1471.6129698472
M Morkel,2,2,2,5,0,166.66,1,0,,5,0,0,0,9,6,2,20,5.5,81.48,0,2,,22,0,0,1,0,167.66,1471.6129698472
D Paterson,6,2,1,4,5,250,1,0,,5,0,0,0,,,,,,,,,,,,,,0,251,2203.1185460554
WD Parnell,2,1,1,4,0,400,1,0,,4,0,0,0,7,6,1,35,18,112.5,6,3,,90,0,0,2,0,401,3519.7232548534
Taskin Ahmed,3,2,0,4,2,100,1,0,,4,0,0,1,9,4,2,14,14.5,54.71,2,0,,29,0,0,0,0,101,886.5138372573
A Zampa,5,1,1,4,0,133.33,1,0,,4,0,0,0,9,3,1,11,8,66.66,1,0,,16,0,0,1,0,134.33,1179.0634035523
Ariful Haque,2,2,1,2,3,75,0,0,,3,0,0,0,,,,,,,,,,,,,,0,75,658.302354399
YS Chahal,10,1,1,3,0,150,0,0,,3,0,0,0,20,2,1,1,1,9.09,0,0,,1,0,0,0,0,150,1316.604708798
PJ Cummins,3,2,1,3,3,100,0,0,,3,0,0,0,11,7,2,12,6.2,81.57,2,0,,31,0,0,1,0,100,877.736472532
Rubel Hossain,3,2,2,2,0,60,0,0,,3,0,0,0,16,7,3,8,4,72.72,2,1,,16,0,0,3,0,60,526.6418835192
Abu Jayed,1,1,0,2,2,66.66,0,0,,2,0,0,0,,,,,,,,,,,,,,0,66.66,585.0991325898
AC Agar,5,1,0,2,2,40,0,0,,2,0,0,0,2,2,1,9,9,128.57,1,0,,9,0,0,1,0,40,351.0945890128
TA Boult,12,3,3,1,0,100,0,0,,2,0,0,0,18,6,3,13,6.33,47.5,2,0,,19,0,0,1,0,100,877.736472532
LD Chandimal,2,1,1,2,0,200,0,0,,2,0,0,0,17,15,1,59,24.14,63.41,22,3,,338,0,1,2,0,200,1755.472945064
CJ Dala,3,1,1,2,0,66.66,0,0,,2,0,0,0,,,,,,,,,,,,,,0,66.66,585.0991325898
MVT Fernando,1,1,0,2,2,100,0,0,,2,0,0,0,6,6,4,7,13.5,61.36,3,0,,27,0,0,1,0,100,877.736472532
SL Malinga,6,3,1,1,1,28.57,0,0,,2,0,0,1,13,6,2,9,5.25,65.62,0,1,,21,0,0,1,0,28.57,250.7693102024
NM Coulter-Nile,2,1,0,1,1,50,0,0,,1,0,0,0,5,3,0,8,3.33,38.46,0,0,,10,0,0,1,0,50,438.868236266
Nazmul Islam,2,1,1,1,0,100,0,0,,1,0,0,0,,,,,,,,,,,,,,0,100,877.736472532
SHA Rance,4,1,0,1,1,50,0,0,,1,0,0,0,,,,,,,,,,,,,,0,50,438.868236266
Shafiul Islam,1,1,0,1,1,33.33,0,0,,1,0,0,0,,,,,,,,,,,,,,0,33.33,292.5495662949
